name,price,url
"Закваски Иван-поле, ацидофилин и биолакт, 20 шт.",775.00,https://samokat.ru/product/zakvaski-ivan-pole-atsidofilin-i-biolakt-20-sht
"Закваски Иван-поле, биокефир и йогурт, 20x2 г",825.00,https://samokat.ru/product/zakvaski-ivan-pole-biokefir-i-yogurt-20x2-g
"Закваски Иван-поле, биойогурт и йогурт, 20 шт.",813.00,https://samokat.ru/product/zakvaski-ivan-pole-bioyogurt-i-yogurt-20-sht
"Закваски Иван-поле, простокваша и йогурт, 20x2 г",670.00,https://samokat.ru/product/zakvaski-ivan-pole-prostokvasha-i-yogurt-20x2-g
"Закваски для биолакта и биойогурта Иван-поле, 10x2г, 2 упаковки",794.00,https://samokat.ru/product/zakvaski-ivan-pole-v-nabore-biolakt-i-bioyogurt-10-sht-po-2-g-2-upakovki
"Бактериальные закваски Иван-поле, йогурт, пробиотик, 20 х 3 г",819.00,https://samokat.ru/product/bakterialnye-zakvaski-ivan-pole-yogurt-probiotik-20-kh-3-g
"Закваска Иван-поле, для йогурта, 2г, 10 шт.",650.00,https://samokat.ru/product/zakvaska-ivan-pole-dlya-yogurta-2g-10-sht
"Бактериальная закваска Иван-поле, биокефир, 2 г, 10 шт.",569.00,https://samokat.ru/product/bakterialnaya-zakvaska-ivan-pole-biokefir-2-g-10-sht
"Закваска для Мацони Иван-поле, 10 стиков по 2 г",650.00,https://samokat.ru/product/zakvaska-dlya-matsoni-ivan-pole-10-stikov-po-2-g
"Закваска для Творога Иван-поле, 10 стиков по 3 г",650.00,https://samokat.ru/product/zakvaska-dlya-tvoroga-ivan-pole-10-stikov-po-3-g
"Закваска для Кефира Иван-поле, 10 стиков по 3 г",650.00,https://samokat.ru/product/zakvaska-dlya-kefira-ivan-pole-10-stikov-po-3-g
"Закваска для Сметаны Иван-поле, 10 стиков по 3 г",600.00,https://samokat.ru/product/zakvaska-dlya-smetany-ivan-pole-10-stikov-po-3-g
