name,price,url
"Сливки Домик в деревне, 10%, стерилизованные, 480 г",159.00,https://samokat.ru/product/slivki-domik-v-derevne-10-sterilizovannye-480-g
"Сливки Parmalat Chef, 11%, для кофе, 500 г",205.00,https://samokat.ru/product/slivki-parmalat-chef-11-dlya-kofe-500-g
"Сливки Вкуснотеево ультрапастеризованные, 10%, 125 г",69.00,https://samokat.ru/product/slivki-vkusnoteevo-ultrapasterizovannye-10-125-g
"Сливки Простоквашино, 10%, ультрапастеризованные, 205 г",95.00,https://samokat.ru/product/slivki-prostokvashino-10-ultrapasterizovannye-205-g
"Сливки Авида ультрапастеризованные, 10%, 200 г",49.00,https://samokat.ru/product/slivki-avida-ultrapasterizovannye-10-200-g
"Сливки Домик в деревне, 20%, стерилизованные, 475 мл",255.00,https://samokat.ru/product/slivki-domik-v-derevne-20-sterilizovannye-475-ml
"Сливки Простоквашино, 20%, ультрапастеризованные, 200 г",135.00,https://samokat.ru/product/slivki-prostokvashino-20-ultrapasterizovannye-200-g
"Сливки Простоквашино ультрапастеризованные, 20%, 500 г",285.00,https://samokat.ru/product/slivki-prostokvashino-ultrapasterizovannye-20-500-g
"Сливки Авида ультрапастеризованные, 20%, 200 г",95.00,https://samokat.ru/product/slivki-avida-ultrapasterizovannye-20-200-g
"Сливки Самокат, 30%, питьевые, пастеризованные, 190 г",119.00,https://samokat.ru/product/slivki-samokat-30-pitevye-pasterizovannye-190-g
